Namespace(seed=969491451, GPU_to_use=None, epochs=100, batch_size=32, lr=0.0005, lr_decay=200, gamma=0.5, training_samples=1096, test_samples=365, shuffle_traindata=True, prediction_steps=10, encoder_hidden=256, decoder_hidden=256, encoder='mlp', decoder='mlp', prior=1, edge_types=2, dont_use_encoder=False, lr_z=0.1, global_temp=False, load_temperatures=False, alpha=2, num_cats=3, unobserved=0, model_unobserved=0, dont_shuffle_unobserved=False, teacher_forcing=0, suffix='_energy_all_1d', timesteps=24, num_atoms=28, dims=10, datadir='./data', save_folder='logs', expername='', sym_save_folder='../logs', load_folder='', test_time_adapt=False, lr_logits=0.01, num_tta_steps=100, dont_skip_first=False, temp=0.5, hard=False, no_validate=False, no_cuda=False, var=5e-07, encoder_dropout=0.0, decoder_dropout=0.0, no_factor=False, f='C:\\Users\\GwenH\\AppData\\Roaming\\jupyter\\runtime\\kernel-98e3a0cb-ff6b-4c5e-988b-840e7369adbb.json', test=True, device=device(type='cuda', index=0), cuda=True, factor=True, validate=True, shuffle_unobserved=True, skip_first=True, use_encoder=True, time='20221106-192314', num_GPU=1, batch_size_multiGPU=32, log_path='logs\\20221106-192314')
DataParallel(
  (module): MLPEncoder(
    (mlp1): MLP(
      (fc1): Linear(in_features=240, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp2): MLP(
      (fc1): Linear(in_features=512, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp3): MLP(
      (fc1): Linear(in_features=256, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp4): MLP(
      (fc1): Linear(in_features=768, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (fc_out): Linear(in_features=256, out_features=2, bias=True)
  )
)
DataParallel(
  (module): MLPDecoder(
    (msg_fc1): ModuleList(
      (0): Linear(in_features=20, out_features=256, bias=True)
      (1): Linear(in_features=20, out_features=256, bias=True)
    )
    (msg_fc2): ModuleList(
      (0): Linear(in_features=256, out_features=256, bias=True)
      (1): Linear(in_features=256, out_features=256, bias=True)
    )
    (out_fc1): Linear(in_features=266, out_features=256, bias=True)
    (out_fc2): Linear(in_features=256, out_features=256, bias=True)
    (out_fc3): Linear(in_features=256, out_features=10, bias=True)
  )
)
0 train	 	loss_kl -5.3366199834 	acc 0.4999503968 	auroc 0.5002144903 	loss_nll 175734306.8000000119 	loss_mse 0.7640621964 	loss 175734302.8000000119 	inference time 0.2566848142 	time: 12.0887s 	
0 validate	 	loss_kl -2.5222625534 	acc 0.4999581341 	auroc 0.4996314133 	loss_nll 30696532.1666666679 	loss_mse 0.1334631747 	loss 30696529.8333333321 	inference time 0.2172531684 	time: 4.9508s 	
1 train	 	loss_kl -5.8209427561 	acc 0.4998889834 	auroc 0.5000765322 	loss_nll 24896254.2571428567 	loss_mse 0.1082445751 	loss 24896248.2857142873 	inference time 0.2141696794 	time: 10.6325s 	
1 validate	 	loss_kl -5.6398795644 	acc 0.5000543197 	auroc 0.4992594213 	loss_nll 18220737.6666666679 	loss_mse 0.0792205924 	loss 18220732.1666666679 	inference time 0.2268098195 	time: 5.0684s 	
2 train	 	loss_kl -7.1015992028 	acc 0.5001003874 	auroc 0.5003469294 	loss_nll 12723300.0857142862 	loss_mse 0.0553186923 	loss 12723293.0285714287 	inference time 0.2181592124 	time: 10.8021s 	
2 validate	 	loss_kl -4.5356163184 	acc 0.5001354018 	auroc 0.4993474826 	loss_nll 9778230.0833333340 	loss_mse 0.0425140408 	loss 9778225.5833333340 	inference time 0.2303004662 	time: 5.2011s 	
3 train	 	loss_kl -7.8821605274 	acc 0.5001051115 	auroc 0.4995301116 	loss_nll 8145800.4714285713 	loss_mse 0.0354165215 	loss 8145792.5285714287 	inference time 0.2237440995 	time: 11.0394s 	
3 validate	 	loss_kl -5.1767863234 	acc 0.5001197683 	auroc 0.4992910889 	loss_nll 7118533.7083333330 	loss_mse 0.0309501444 	loss 7118528.5000000000 	inference time 0.2331261834 	time: 5.3746s 	
4 train	 	loss_kl -8.0790569987 	acc 0.5002964380 	auroc 0.5006375728 	loss_nll 6245682.9571428569 	loss_mse 0.0271551415 	loss 6245674.8857142860 	inference time 0.2302126884 	time: 11.3038s 	
4 validate	 	loss_kl -7.0400189161 	acc 0.5002792828 	auroc 0.4998547602 	loss_nll 5912946.8750000000 	loss_mse 0.0257084626 	loss 5912939.7916666670 	inference time 0.2295546730 	time: 5.5442s 	
5 train	 	loss_kl -8.6558568546 	acc 0.5004428855 	auroc 0.5000796757 	loss_nll 5086275.5857142853 	loss_mse 0.0221142401 	loss 5086266.9142857147 	inference time 0.2285316604 	time: 11.2728s 	
5 validate	 	loss_kl -7.3708563248 	acc 0.5001396414 	auroc 0.4999083103 	loss_nll 4908969.1458333330 	loss_mse 0.0213433420 	loss 4908961.7291666670 	inference time 0.2511610786 	time: 5.6628s 	
6 train	 	loss_kl -9.2519264630 	acc 0.5002326625 	auroc 0.5003525551 	loss_nll 4110126.5428571426 	loss_mse 0.0178701146 	loss 4110117.3142857142 	inference time 0.2365673678 	time: 11.5770s 	
6 validate	 	loss_kl -8.0016264518 	acc 0.5000098040 	auroc 0.5003914676 	loss_nll 4117927.9166666665 	loss_mse 0.0179040331 	loss 4117919.8958333335 	inference time 0.2353699406 	time: 5.7436s 	
