Namespace(seed=969491451, GPU_to_use=None, epochs=100, batch_size=32, lr=0.0005, lr_decay=200, gamma=0.5, training_samples=4384, test_samples=1460, shuffle_traindata=True, prediction_steps=10, encoder_hidden=256, decoder_hidden=256, encoder='mlp', decoder='mlp', prior=1, edge_types=2, dont_use_encoder=False, lr_z=0.1, global_temp=False, load_temperatures=False, alpha=2, num_cats=3, unobserved=0, model_unobserved=0, dont_shuffle_unobserved=False, teacher_forcing=0, suffix='_energy_long_1d', timesteps=24, num_atoms=7, dims=11, datadir='./data', save_folder='logs', expername='', sym_save_folder='../logs', load_folder='', test_time_adapt=False, lr_logits=0.01, num_tta_steps=100, dont_skip_first=False, temp=0.5, hard=False, no_validate=False, no_cuda=False, var=5e-07, encoder_dropout=0.0, decoder_dropout=0.0, no_factor=False, f='C:\\Users\\GwenH\\AppData\\Roaming\\jupyter\\runtime\\kernel-98e3a0cb-ff6b-4c5e-988b-840e7369adbb.json', test=True, device=device(type='cuda', index=0), cuda=True, factor=True, validate=True, shuffle_unobserved=True, skip_first=True, use_encoder=True, time='20221106-201437', num_GPU=1, batch_size_multiGPU=32, log_path='logs\\20221106-201437')
DataParallel(
  (module): MLPEncoder(
    (mlp1): MLP(
      (fc1): Linear(in_features=264, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp2): MLP(
      (fc1): Linear(in_features=512, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp3): MLP(
      (fc1): Linear(in_features=256, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp4): MLP(
      (fc1): Linear(in_features=768, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (fc_out): Linear(in_features=256, out_features=2, bias=True)
  )
)
DataParallel(
  (module): MLPDecoder(
    (msg_fc1): ModuleList(
      (0): Linear(in_features=22, out_features=256, bias=True)
      (1): Linear(in_features=22, out_features=256, bias=True)
    )
    (msg_fc2): ModuleList(
      (0): Linear(in_features=256, out_features=256, bias=True)
      (1): Linear(in_features=256, out_features=256, bias=True)
    )
    (out_fc1): Linear(in_features=267, out_features=256, bias=True)
    (out_fc2): Linear(in_features=256, out_features=256, bias=True)
    (out_fc3): Linear(in_features=256, out_features=11, bias=True)
  )
)
0 train	 	loss_kl -0.4722644167 	acc 0.4987780240 	auroc 0.4981517636 	loss_nll 5363315.1870437954 	loss_mse 0.0211988730 	loss 5363314.7664233577 	inference time 0.0376510829 	time: 7.9477s 	
0 validate	 	loss_kl -0.2240559138 	acc 0.5010610766 	auroc 0.5001659425 	loss_nll 2566912.4986413042 	loss_mse 0.0101458985 	loss 2566912.2717391304 	inference time 0.0352535351 	time: 3.9315s 	
1 train	 	loss_kl -0.1407294566 	acc 0.4986856969 	auroc 0.4988001192 	loss_nll 983678.0989963503 	loss_mse 0.0038880555 	loss 983677.9621350365 	inference time 0.0270243248 	time: 6.4437s 	
1 validate	 	loss_kl -0.4185618799 	acc 0.5010643116 	auroc 0.5030113753 	loss_nll 2387527.1351902173 	loss_mse 0.0094368656 	loss 2387526.7180706523 	inference time 0.0316325115 	time: 3.7310s 	
2 train	 	loss_kl -0.3450357688 	acc 0.4992287974 	auroc 0.4998560422 	loss_nll 522819.5344434307 	loss_mse 0.0020664803 	loss 522819.1868156935 	inference time 0.0273430365 	time: 6.6013s 	
2 validate	 	loss_kl -0.3503200592 	acc 0.5020639234 	auroc 0.5031981410 	loss_nll 993143.7404891305 	loss_mse 0.0039254692 	loss 993143.3831521739 	inference time 0.0303114342 	time: 3.9165s 	
3 train	 	loss_kl -0.3226428434 	acc 0.5000325860 	auroc 0.5002737901 	loss_nll 346559.0479014599 	loss_mse 0.0013697985 	loss 346558.7247947080 	inference time 0.0273710359 	time: 6.6532s 	
3 validate	 	loss_kl -0.3419979830 	acc 0.5024294772 	auroc 0.5034790856 	loss_nll 876498.6616847826 	loss_mse 0.0034644214 	loss 876498.3087635869 	inference time 0.0293562309 	time: 3.9145s 	
4 train	 	loss_kl -0.3296907038 	acc 0.4998805179 	auroc 0.4999742920 	loss_nll 305596.4854014599 	loss_mse 0.0012078912 	loss 305596.1569343065 	inference time 0.0277866830 	time: 6.7190s 	
4 validate	 	loss_kl -0.2885792447 	acc 0.5024068323 	auroc 0.5037419260 	loss_nll 841890.0536684783 	loss_mse 0.0033276285 	loss 841889.7629076086 	inference time 0.0352105991 	time: 4.0312s 	
5 train	 	loss_kl -0.3347601906 	acc 0.4996741397 	auroc 0.5002123585 	loss_nll 272684.9588275548 	loss_mse 0.0010778061 	loss 272684.6240875912 	inference time 0.0284778376 	time: 6.8696s 	
5 validate	 	loss_kl -0.2898358214 	acc 0.5019474638 	auroc 0.5033467052 	loss_nll 699830.9684103261 	loss_mse 0.0027661302 	loss 699830.6728940217 	inference time 0.0344959342 	time: 4.0806s 	
6 train	 	loss_kl -0.3524070071 	acc 0.4993482795 	auroc 0.5004241458 	loss_nll 250124.6837363139 	loss_mse 0.0009886351 	loss 250124.3318886861 	inference time 0.0285377102 	time: 6.9314s 	
6 validate	 	loss_kl -0.2743366704 	acc 0.5019280538 	auroc 0.5031717652 	loss_nll 663574.6555706522 	loss_mse 0.0026228246 	loss 663574.3804347826 	inference time 0.0298115378 	time: 4.0013s 	
