Namespace(seed=969491451, GPU_to_use=None, epochs=100, batch_size=32, lr=0.0005, lr_decay=200, gamma=0.5, training_samples=624, test_samples=208, shuffle_traindata=True, prediction_steps=10, encoder_hidden=256, decoder_hidden=256, encoder='mlp', decoder='mlp', prior=1, edge_types=2, dont_use_encoder=False, lr_z=0.1, global_temp=False, load_temperatures=False, alpha=2, num_cats=3, unobserved=0, model_unobserved=0, dont_shuffle_unobserved=False, teacher_forcing=0, suffix='_energy_long_7d', timesteps=168, num_atoms=7, dims=11, datadir='./data', save_folder='logs', expername='', sym_save_folder='../logs', load_folder='', test_time_adapt=False, lr_logits=0.01, num_tta_steps=100, dont_skip_first=False, temp=0.5, hard=False, no_validate=False, no_cuda=False, var=5e-07, encoder_dropout=0.0, decoder_dropout=0.0, no_factor=False, f='C:\\Users\\GwenH\\AppData\\Roaming\\jupyter\\runtime\\kernel-2177a03f-718e-42fc-a144-2df26d174d50.json', test=True, device=device(type='cuda', index=0), cuda=True, factor=True, validate=True, shuffle_unobserved=True, skip_first=True, use_encoder=True, time='20221108-105258', num_GPU=1, batch_size_multiGPU=32, log_path='logs\\20221108-105258')
DataParallel(
  (module): MLPEncoder(
    (mlp1): MLP(
      (fc1): Linear(in_features=1848, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp2): MLP(
      (fc1): Linear(in_features=512, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp3): MLP(
      (fc1): Linear(in_features=256, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp4): MLP(
      (fc1): Linear(in_features=768, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (fc_out): Linear(in_features=256, out_features=2, bias=True)
  )
)
DataParallel(
  (module): MLPDecoder(
    (msg_fc1): ModuleList(
      (0): Linear(in_features=22, out_features=256, bias=True)
      (1): Linear(in_features=22, out_features=256, bias=True)
    )
    (msg_fc2): ModuleList(
      (0): Linear(in_features=256, out_features=256, bias=True)
      (1): Linear(in_features=256, out_features=256, bias=True)
    )
    (out_fc1): Linear(in_features=267, out_features=256, bias=True)
    (out_fc2): Linear(in_features=256, out_features=256, bias=True)
    (out_fc3): Linear(in_features=256, out_features=11, bias=True)
  )
)
0 train	 	loss_kl -1.7235819697 	acc 0.4991071429 	auroc 0.4995107253 	loss_nll 211416192.0000000000 	loss_mse 0.1150877466 	loss 211416192.0000000000 	inference time 0.2197393537 	time: 5.1119s 	
0 validate	 	loss_kl -0.4844087958 	acc 0.4972363946 	auroc 0.4963266714 	loss_nll 103939377.1428571492 	loss_mse 0.0565810438 	loss 103939377.1428571492 	inference time 0.1045774392 	time: 2.8962s 	
1 train	 	loss_kl -0.3890473962 	acc 0.5017857143 	auroc 0.5006870100 	loss_nll 44202158.6000000015 	loss_mse 0.0240621441 	loss 44202158.6000000015 	inference time 0.0694126010 	time: 2.0535s 	
1 validate	 	loss_kl -0.1635845655 	acc 0.4994685374 	auroc 0.5000556868 	loss_nll 37204170.5714285746 	loss_mse 0.0202526780 	loss 37204170.5714285746 	inference time 0.0847728252 	time: 2.9710s 	
2 train	 	loss_kl -0.2277946822 	acc 0.5013764881 	auroc 0.4995599290 	loss_nll 26761367.0000000000 	loss_mse 0.0145679732 	loss 26761367.0000000000 	inference time 0.0707121015 	time: 2.0844s 	
2 validate	 	loss_kl -0.1928430072 	acc 0.4992559524 	auroc 0.4986163784 	loss_nll 28577820.5714285709 	loss_mse 0.0155567886 	loss 28577820.5714285709 	inference time 0.0816382340 	time: 3.0129s 	
3 train	 	loss_kl -0.2736148298 	acc 0.5022693452 	auroc 0.5019420041 	loss_nll 21353984.8999999985 	loss_mse 0.0116243790 	loss 21353984.8999999985 	inference time 0.0712108016 	time: 2.0904s 	
3 validate	 	loss_kl -0.1891588345 	acc 0.4993622449 	auroc 0.4976375974 	loss_nll 23489402.0000000000 	loss_mse 0.0127868276 	loss 23489402.0000000000 	inference time 0.1077118601 	time: 3.0887s 	
4 train	 	loss_kl -0.2802297249 	acc 0.5021205357 	auroc 0.5010106146 	loss_nll 18609683.4499999993 	loss_mse 0.0101304755 	loss 18609683.4499999993 	inference time 0.0720057487 	time: 2.1023s 	
4 validate	 	loss_kl -0.2409755130 	acc 0.4980867347 	auroc 0.4976308114 	loss_nll 21100385.1428571418 	loss_mse 0.0114863279 	loss 21100385.1428571418 	inference time 0.1068567889 	time: 3.1227s 	
5 train	 	loss_kl -0.2798166931 	acc 0.5018229167 	auroc 0.5022282556 	loss_nll 16830861.3500000015 	loss_mse 0.0091621453 	loss 16830861.3500000015 	inference time 0.0716579914 	time: 2.1183s 	
5 validate	 	loss_kl -0.2109563532 	acc 0.4984056122 	auroc 0.4966633382 	loss_nll 19556804.8571428582 	loss_mse 0.0106460557 	loss 19556804.8571428582 	inference time 0.0850583145 	time: 3.1296s 	
6 train	 	loss_kl -0.2591091357 	acc 0.5018973214 	auroc 0.5008957564 	loss_nll 15450786.1500000004 	loss_mse 0.0084108798 	loss 15450786.1500000004 	inference time 0.0736044288 	time: 2.1462s 	
6 validate	 	loss_kl -0.2605146798 	acc 0.4968112245 	auroc 0.4960568424 	loss_nll 17894887.2857142873 	loss_mse 0.0097413649 	loss 17894887.2857142873 	inference time 0.0854854924 	time: 3.2503s 	
7 train	 	loss_kl -0.2286244623 	acc 0.5018601190 	auroc 0.5010522406 	loss_nll 14475396.4499999993 	loss_mse 0.0078799110 	loss 14475396.4499999993 	inference time 0.0740015626 	time: 2.1542s 	
7 validate	 	loss_kl -0.2738641532 	acc 0.4991496599 	auroc 0.4965188529 	loss_nll 16593377.8571428563 	loss_mse 0.0090328675 	loss 16593377.7142857146 	inference time 0.1115584714 	time: 3.2782s 	
8 train	 	loss_kl -0.2235599428 	acc 0.5017113095 	auroc 0.4981308844 	loss_nll 13582331.2500000000 	loss_mse 0.0073937568 	loss 13582331.2500000000 	inference time 0.0745012522 	time: 2.1761s 	
8 validate	 	loss_kl -0.2670220860 	acc 0.4987244898 	auroc 0.4965984677 	loss_nll 15661058.7142857146 	loss_mse 0.0085253449 	loss 15661058.5714285709 	inference time 0.1131258692 	time: 3.2962s 	
9 train	 	loss_kl -0.1740919150 	acc 0.5023437500 	auroc 0.4997382279 	loss_nll 12836483.1500000004 	loss_mse 0.0069877425 	loss 12836483.1500000004 	inference time 0.0736503482 	time: 2.1612s 	
9 validate	 	loss_kl -0.2296486619 	acc 0.4975552721 	auroc 0.4972064247 	loss_nll 14737015.2857142854 	loss_mse 0.0080223268 	loss 14737015.2857142854 	inference time 0.0847727571 	time: 3.3690s 	
10 train	 	loss_kl -0.1751376916 	acc 0.5025669643 	auroc 0.4998137189 	loss_nll 12161988.0999999996 	loss_mse 0.0066205705 	loss 12161988.0999999996 	inference time 0.0767447710 	time: 2.2170s 	
10 validate	 	loss_kl -0.2240862814 	acc 0.4978741497 	auroc 0.4973809183 	loss_nll 14375601.5714285709 	loss_mse 0.0078255861 	loss 14375601.5714285709 	inference time 0.1030089174 	time: 3.3620s 	
11 train	 	loss_kl -0.1723682199 	acc 0.5014508929 	auroc 0.4997108593 	loss_nll 11625408.1500000004 	loss_mse 0.0063284748 	loss 11625408.1500000004 	inference time 0.0787893176 	time: 2.2570s 	
11 validate	 	loss_kl -0.1923121746 	acc 0.4973426871 	auroc 0.4976676301 	loss_nll 13683190.8571428563 	loss_mse 0.0074486615 	loss 13683190.8571428563 	inference time 0.1105609281 	time: 3.4817s 	
12 train	 	loss_kl -0.1731890049 	acc 0.5016369048 	auroc 0.5008875815 	loss_nll 11151322.9000000004 	loss_mse 0.0060703987 	loss 11151322.9000000004 	inference time 0.0771932006 	time: 2.2180s 	
12 validate	 	loss_kl -0.1997024779 	acc 0.4977678571 	auroc 0.4969512049 	loss_nll 13078461.2857142854 	loss_mse 0.0071194673 	loss 13078461.2857142854 	inference time 0.1192956311 	time: 3.5757s 	
13 train	 	loss_kl -0.1722263295 	acc 0.5017857143 	auroc 0.5009494578 	loss_nll 10856298.6999999993 	loss_mse 0.0059097979 	loss 10856298.6999999993 	inference time 0.0768936634 	time: 2.2270s 	
13 validate	 	loss_kl -0.1493112445 	acc 0.4956420068 	auroc 0.4958312659 	loss_nll 12750189.0000000000 	loss_mse 0.0069407672 	loss 12750189.0000000000 	inference time 0.1159752437 	time: 3.6510s 	
14 train	 	loss_kl -0.1721157361 	acc 0.5008556548 	auroc 0.5005578759 	loss_nll 10546869.0000000000 	loss_mse 0.0057413550 	loss 10546869.0000000000 	inference time 0.0798348427 	time: 2.2868s 	
14 validate	 	loss_kl -0.1677560673 	acc 0.4963860544 	auroc 0.4954345146 	loss_nll 12127695.9285714291 	loss_mse 0.0066019029 	loss 12127695.9285714291 	inference time 0.1146927561 	time: 3.5266s 	
15 train	 	loss_kl -0.2090110257 	acc 0.5008556548 	auroc 0.5005000987 	loss_nll 10047851.4499999993 	loss_mse 0.0054697067 	loss 10047851.4499999993 	inference time 0.0789888620 	time: 2.2829s 	
