Namespace(seed=969491451, GPU_to_use=None, epochs=100, batch_size=16, lr=0.0005, lr_decay=200, gamma=0.5, training_samples=156, test_samples=52, shuffle_traindata=True, prediction_steps=10, encoder_hidden=256, decoder_hidden=256, encoder='mlp', decoder='mlp', prior=1, edge_types=2, dont_use_encoder=False, lr_z=0.1, global_temp=False, load_temperatures=False, alpha=2, num_cats=3, unobserved=0, model_unobserved=0, dont_shuffle_unobserved=False, teacher_forcing=0, suffix='_energy_all_7d', timesteps=168, num_atoms=28, dims=10, datadir='./data', save_folder='logs', expername='', sym_save_folder='../logs', load_folder='', test_time_adapt=False, lr_logits=0.01, num_tta_steps=100, dont_skip_first=False, temp=0.5, hard=False, no_validate=False, no_cuda=False, var=5e-07, encoder_dropout=0.0, decoder_dropout=0.0, no_factor=False, f='C:\\Users\\GwenH\\AppData\\Roaming\\jupyter\\runtime\\kernel-204e35d8-5abf-4cde-8c16-c5199476a4e0.json', test=True, device=device(type='cuda', index=0), cuda=True, factor=True, validate=True, shuffle_unobserved=True, skip_first=True, use_encoder=True, time='20221109-155852', num_GPU=1, batch_size_multiGPU=16, log_path='logs\\20221109-155852')
DataParallel(
  (module): MLPEncoder(
    (mlp1): MLP(
      (fc1): Linear(in_features=1680, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp2): MLP(
      (fc1): Linear(in_features=512, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp3): MLP(
      (fc1): Linear(in_features=256, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (mlp4): MLP(
      (fc1): Linear(in_features=768, out_features=256, bias=True)
      (fc2): Linear(in_features=256, out_features=256, bias=True)
      (bn): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (fc_out): Linear(in_features=256, out_features=2, bias=True)
  )
)
DataParallel(
  (module): MLPDecoder(
    (msg_fc1): ModuleList(
      (0): Linear(in_features=20, out_features=256, bias=True)
      (1): Linear(in_features=20, out_features=256, bias=True)
    )
    (msg_fc2): ModuleList(
      (0): Linear(in_features=256, out_features=256, bias=True)
      (1): Linear(in_features=256, out_features=256, bias=True)
    )
    (out_fc1): Linear(in_features=266, out_features=256, bias=True)
    (out_fc2): Linear(in_features=256, out_features=256, bias=True)
    (out_fc3): Linear(in_features=256, out_features=10, bias=True)
  )
)
0 train	 	loss_kl -5.6339567184 	acc 0.5008184524 	auroc 0.4997965082 	loss_nll 3425912537.5999999046 	loss_mse 2.0514446139 	loss 3425912537.5999999046 	inference time 0.7156917095 	time: 9.3321s 	
0 validate	 	loss_kl -6.7136690021 	acc 0.5027695106 	auroc 0.5052172742 	loss_nll 563210776.0000000000 	loss_mse 0.3372519687 	loss 563210776.0000000000 	inference time 0.5226024389 	time: 4.3059s 	
1 train	 	loss_kl -5.6607945442 	acc 0.4961061508 	auroc 0.4958387064 	loss_nll 484729638.3999999762 	loss_mse 0.2902572691 	loss 484729638.3999999762 	inference time 0.5773556948 	time: 7.9747s 	
1 validate	 	loss_kl -8.8407986164 	acc 0.5065517526 	auroc 0.5058771535 	loss_nll 483167256.0000000000 	loss_mse 0.2893217057 	loss 483167256.0000000000 	inference time 0.4974192381 	time: 4.5020s 	
2 train	 	loss_kl -5.2297208071 	acc 0.4984264771 	auroc 0.4973611968 	loss_nll 378184972.8000000119 	loss_mse 0.2264580563 	loss 378184972.8000000119 	inference time 0.5728681087 	time: 7.9408s 	
2 validate	 	loss_kl -7.8324872255 	acc 0.5021081349 	auroc 0.5047575935 	loss_nll 359584808.0000000000 	loss_mse 0.2153202295 	loss 359584808.0000000000 	inference time 0.5133767724 	time: 4.4292s 	
3 train	 	loss_kl -6.0416016579 	acc 0.4986937831 	auroc 0.4971121641 	loss_nll 317646534.3999999762 	loss_mse 0.1902075022 	loss 317646534.3999999762 	inference time 0.5701751947 	time: 7.9318s 	
3 validate	 	loss_kl -5.6546361446 	acc 0.5010747354 	auroc 0.5029589760 	loss_nll 287179840.0000000000 	loss_mse 0.1719639674 	loss 287179840.0000000000 	inference time 0.5275892019 	time: 4.7154s 	
4 train	 	loss_kl -5.1230155468 	acc 0.4987544092 	auroc 0.4982957220 	loss_nll 275120656.0000000000 	loss_mse 0.1647429034 	loss 275120656.0000000000 	inference time 0.5967046738 	time: 8.2080s 	
4 validate	 	loss_kl -6.6085006595 	acc 0.5018807870 	auroc 0.5025260646 	loss_nll 249787932.0000000000 	loss_mse 0.1495736130 	loss 249787924.0000000000 	inference time 0.5373124480 	time: 4.7195s 	
5 train	 	loss_kl -5.7828856945 	acc 0.4990740741 	auroc 0.4992702224 	loss_nll 234899489.5999999940 	loss_mse 0.1406583741 	loss 234899489.5999999940 	inference time 0.5941144228 	time: 8.1562s 	
5 validate	 	loss_kl -9.4234008789 	acc 0.5021701389 	auroc 0.5023237885 	loss_nll 263478648.0000000000 	loss_mse 0.1577716395 	loss 263478648.0000000000 	inference time 0.5096366405 	time: 4.7712s 	
6 train	 	loss_kl -6.2271086216 	acc 0.5000523589 	auroc 0.5000874086 	loss_nll 197599433.5999999940 	loss_mse 0.1183230124 	loss 197599432.0000000000 	inference time 0.5831406832 	time: 8.0495s 	
6 validate	 	loss_kl -9.2935018539 	acc 0.5000206680 	auroc 0.5004447621 	loss_nll 212250580.0000000000 	loss_mse 0.1270961463 	loss 212250572.0000000000 	inference time 0.5525218844 	time: 4.8859s 	
7 train	 	loss_kl -6.7987598419 	acc 0.4993882275 	auroc 0.4999248150 	loss_nll 158644270.4000000060 	loss_mse 0.0949965686 	loss 158644268.8000000119 	inference time 0.6091706514 	time: 8.3128s 	
7 validate	 	loss_kl -6.5722504258 	acc 0.5027901786 	auroc 0.4987026749 	loss_nll 149486104.0000000000 	loss_mse 0.0895126332 	loss 149486098.0000000000 	inference time 0.5068930984 	time: 4.9139s 	
8 train	 	loss_kl -7.4750931263 	acc 0.5000992063 	auroc 0.4998260985 	loss_nll 127543458.4000000060 	loss_mse 0.0763733260 	loss 127543450.4000000060 	inference time 0.5899223328 	time: 8.1163s 	
8 validate	 	loss_kl -8.5103027821 	acc 0.5009300595 	auroc 0.4999594287 	loss_nll 139292900.0000000000 	loss_mse 0.0834089182 	loss 139292894.0000000000 	inference time 0.5510260463 	time: 4.8470s 	
9 train	 	loss_kl -8.3156514168 	acc 0.5003417108 	auroc 0.4990755699 	loss_nll 100552541.5999999940 	loss_mse 0.0602111012 	loss 100552533.5999999940 	inference time 0.6239317179 	time: 8.4514s 	
9 validate	 	loss_kl -8.5379233360 	acc 0.5011574074 	auroc 0.5020915136 	loss_nll 114541602.0000000000 	loss_mse 0.0685877828 	loss 114541592.0000000000 	inference time 0.5116312504 	time: 5.0814s 	
10 train	 	loss_kl -8.6694115639 	acc 0.5004436728 	auroc 0.4992951614 	loss_nll 87011779.2000000030 	loss_mse 0.0521028604 	loss 87011771.2000000030 	inference time 0.6011920452 	time: 8.2180s 	
10 validate	 	loss_kl -10.2487752438 	acc 0.5014674272 	auroc 0.5019740987 	loss_nll 111267658.0000000000 	loss_mse 0.0666273404 	loss 111267648.0000000000 	inference time 0.5191112161 	time: 4.9498s 	
11 train	 	loss_kl -9.0729479790 	acc 0.4979249339 	auroc 0.4977503054 	loss_nll 73887457.5999999940 	loss_mse 0.0442439869 	loss 73887449.5999999940 	inference time 0.5865315437 	time: 8.1781s 	
11 validate	 	loss_kl -9.9018028975 	acc 0.5016741071 	auroc 0.5019087701 	loss_nll 89109928.0000000000 	loss_mse 0.0533592366 	loss 89109916.0000000000 	inference time 0.5460407138 	time: 4.9518s 	
12 train	 	loss_kl -9.3251048088 	acc 0.5003113977 	auroc 0.4988942006 	loss_nll 64995904.3999999985 	loss_mse 0.0389197018 	loss 64995895.6000000015 	inference time 0.5887257576 	time: 8.1472s 	
12 validate	 	loss_kl -10.3133918047 	acc 0.5028728505 	auroc 0.5019971738 	loss_nll 67814289.0000000000 	loss_mse 0.0406073583 	loss 67814279.0000000000 	inference time 0.5440444350 	time: 5.0315s 	
13 train	 	loss_kl -9.8469355583 	acc 0.4996665564 	auroc 0.4992675369 	loss_nll 59607091.6000000015 	loss_mse 0.0356928686 	loss 59607082.3999999985 	inference time 0.6190444231 	time: 8.4953s 	
13 validate	 	loss_kl -9.3391095400 	acc 0.5016741071 	auroc 0.5009277937 	loss_nll 70888972.0000000000 	loss_mse 0.0424484834 	loss 70888962.0000000000 	inference time 0.5260934830 	time: 4.9817s 	
14 train	 	loss_kl -8.8576957703 	acc 0.4994571208 	auroc 0.4985330785 	loss_nll 55023722.7999999970 	loss_mse 0.0329483354 	loss 55023714.3999999985 	inference time 0.6150552988 	time: 8.4654s 	
14 validate	 	loss_kl -10.3371995687 	acc 0.5029141865 	auroc 0.5018924857 	loss_nll 73470716.0000000000 	loss_mse 0.0439944407 	loss 73470704.0000000000 	inference time 0.5255945921 	time: 5.0046s 	
15 train	 	loss_kl -9.4813341141 	acc 0.5001680996 	auroc 0.4986124929 	loss_nll 54133614.0000000000 	loss_mse 0.0324153373 	loss 54133605.6000000015 	inference time 0.5953079462 	time: 8.3507s 	
15 validate	 	loss_kl -11.7709991932 	acc 0.5014467593 	auroc 0.5014850429 	loss_nll 63720888.0000000000 	loss_mse 0.0381562179 	loss 63720875.0000000000 	inference time 0.5639911890 	time: 5.0295s 	
16 train	 	loss_kl -10.0634877205 	acc 0.4985477293 	auroc 0.4987394931 	loss_nll 48965274.7999999970 	loss_mse 0.0293205230 	loss 48965265.6000000015 	inference time 0.6015915394 	time: 8.3945s 	
16 validate	 	loss_kl -11.3231246471 	acc 0.5004546958 	auroc 0.5014165120 	loss_nll 61416096.0000000000 	loss_mse 0.0367761054 	loss 61416083.0000000000 	inference time 0.5283414721 	time: 4.9877s 	
17 train	 	loss_kl -9.8736431122 	acc 0.5010085979 	auroc 0.4991102323 	loss_nll 45143518.3999999985 	loss_mse 0.0270320455 	loss 45143508.7999999970 	inference time 0.5959065676 	time: 8.4095s 	
17 validate	 	loss_kl -10.4765890837 	acc 0.5037822421 	auroc 0.5016073147 	loss_nll 55721971.0000000000 	loss_mse 0.0333664468 	loss 55721960.0000000000 	inference time 0.5592546463 	time: 5.1033s 	
18 train	 	loss_kl -9.7172766685 	acc 0.4987488977 	auroc 0.4990444241 	loss_nll 42425689.2000000030 	loss_mse 0.0254046038 	loss 42425680.3999999985 	inference time 0.6060792923 	time: 8.4853s 	
18 validate	 	loss_kl -11.9785623550 	acc 0.5035135582 	auroc 0.5023486670 	loss_nll 68755727.0000000000 	loss_mse 0.0411710944 	loss 68755714.0000000000 	inference time 0.5148726106 	time: 5.1382s 	
19 train	 	loss_kl -9.9460073471 	acc 0.4983768739 	auroc 0.4980033421 	loss_nll 39579234.7999999970 	loss_mse 0.0237001399 	loss 39579224.7999999970 	inference time 0.5960087776 	time: 8.4155s 	
19 validate	 	loss_kl -11.3146653175 	acc 0.5027488426 	auroc 0.5021423895 	loss_nll 54672347.0000000000 	loss_mse 0.0327379308 	loss 54672335.0000000000 	inference time 0.5131274462 	time: 5.0944s 	
20 train	 	loss_kl -9.6618714333 	acc 0.4997106481 	auroc 0.4986549778 	loss_nll 39231162.0000000000 	loss_mse 0.0234917134 	loss 39231152.7999999970 	inference time 0.6010934591 	time: 8.5531s 	
