Namespace(seed=969491451, GPU_to_use=None, epochs=100, batch_size=32, lr=0.0005, lr_decay=200, gamma=0.5, training_samples=1096, test_samples=365, shuffle_traindata=True, prediction_steps=10, encoder_hidden=256, decoder_hidden=256, encoder='mlp', decoder='mlp', prior=1, edge_types=2, dont_use_encoder=True, lr_z=0.1, global_temp=False, load_temperatures=False, alpha=2, num_cats=3, unobserved=0, model_unobserved=0, dont_shuffle_unobserved=False, teacher_forcing=0, suffix='_energy_DE_1d', timesteps=24, num_atoms=7, dims=10, datadir='./data', save_folder='logs', expername='', sym_save_folder='../logs', load_folder='', test_time_adapt=False, lr_logits=0.01, num_tta_steps=100, dont_skip_first=False, temp=0.5, hard=False, no_validate=False, no_cuda=False, var=5e-07, encoder_dropout=0.0, decoder_dropout=0.0, no_factor=False, f='C:\\Users\\GwenH\\AppData\\Roaming\\jupyter\\runtime\\kernel-204e35d8-5abf-4cde-8c16-c5199476a4e0.json', test=True, device=device(type='cuda', index=0), cuda=True, factor=True, validate=True, shuffle_unobserved=True, skip_first=True, use_encoder=False, time='20221109-163905', num_GPU=1, batch_size_multiGPU=32, log_path='logs\\20221109-163905')
None
DataParallel(
  (module): MLPDecoder(
    (msg_fc1): ModuleList(
      (0): Linear(in_features=20, out_features=256, bias=True)
      (1): Linear(in_features=20, out_features=256, bias=True)
    )
    (msg_fc2): ModuleList(
      (0): Linear(in_features=256, out_features=256, bias=True)
      (1): Linear(in_features=256, out_features=256, bias=True)
    )
    (out_fc1): Linear(in_features=266, out_features=256, bias=True)
    (out_fc2): Linear(in_features=256, out_features=256, bias=True)
    (out_fc3): Linear(in_features=256, out_features=10, bias=True)
  )
)
0 train	 	loss_kl -2.9161063194 	acc 0.4991284014 	auroc 0.4971047176 	loss_nll 15509436.4428571425 	loss_mse 0.0674323303 	loss 15509433.4714285713 	inference time 0.0370872361 	time: 1.8396s 	
0 validate	 	loss_kl -2.2346470356 	acc 0.4934180403 	auroc 0.4923012340 	loss_nll 6375369.7083333330 	loss_mse 0.0277189968 	loss 6375367.7083333330 	inference time 0.0273434917 	time: 2.7716s 	
1 train	 	loss_kl -1.6802829061 	acc 0.4978316327 	auroc 0.4967123600 	loss_nll 3086280.0285714287 	loss_mse 0.0134186080 	loss 3086278.3714285716 	inference time 0.0238503592 	time: 1.3926s 	
1 validate	 	loss_kl -1.2371854683 	acc 0.4952686203 	auroc 0.4905142836 	loss_nll 3109534.7187500000 	loss_mse 0.0135197154 	loss 3109533.4687500000 	inference time 0.0404749711 	time: 2.9222s 	
2 train	 	loss_kl -1.0461377893 	acc 0.4974489796 	auroc 0.4965369440 	loss_nll 2133729.8999999999 	loss_mse 0.0092770861 	loss 2133728.8500000001 	inference time 0.0240215302 	time: 1.3843s 	
2 validate	 	loss_kl -0.9116469075 	acc 0.4946867369 	auroc 0.4901410875 	loss_nll 2515212.8333333335 	loss_mse 0.0109357069 	loss 2515211.8750000000 	inference time 0.0368176103 	time: 2.9182s 	
3 train	 	loss_kl -0.8684183461 	acc 0.4987032313 	auroc 0.4981364740 	loss_nll 1851058.4964285714 	loss_mse 0.0080480798 	loss 1851057.6214285714 	inference time 0.0259581770 	time: 1.4850s 	
3 validate	 	loss_kl -0.8366762300 	acc 0.4953640110 	auroc 0.4917815324 	loss_nll 2227174.8020833335 	loss_mse 0.0096833683 	loss 2227174.0000000000 	inference time 0.0541045666 	time: 3.0349s 	
4 train	 	loss_kl -0.7772105081 	acc 0.4970875850 	auroc 0.4968171164 	loss_nll 1524208.3250000000 	loss_mse 0.0066269923 	loss 1524207.5392857143 	inference time 0.0244774001 	time: 1.4322s 	
4 validate	 	loss_kl -0.6957588742 	acc 0.4969474969 	auroc 0.4927179034 	loss_nll 1769747.3020833333 	loss_mse 0.0076945529 	loss 1769746.5520833333 	inference time 0.0395608544 	time: 3.1316s 	
5 train	 	loss_kl -0.6357731308 	acc 0.4981717687 	auroc 0.4972621062 	loss_nll 1200399.0892857143 	loss_mse 0.0052191262 	loss 1200398.4589285713 	inference time 0.0252748557 	time: 1.4671s 	
5 validate	 	loss_kl -0.5638806820 	acc 0.4973004426 	auroc 0.4935349311 	loss_nll 1586854.7708333333 	loss_mse 0.0068993680 	loss 1586854.1458333333 	inference time 0.0565984845 	time: 3.1027s 	
6 train	 	loss_kl -0.4547787224 	acc 0.4984906463 	auroc 0.4972061420 	loss_nll 1021683.2196428571 	loss_mse 0.0044421006 	loss 1021682.7678571428 	inference time 0.0258165632 	time: 1.4940s 	
6 validate	 	loss_kl -0.3442155694 	acc 0.4973004426 	auroc 0.4931398004 	loss_nll 1288769.9739583333 	loss_mse 0.0056033475 	loss 1288769.5989583333 	inference time 0.0377322634 	time: 3.1067s 	
7 train	 	loss_kl -0.3060174363 	acc 0.4993197279 	auroc 0.4979537092 	loss_nll 877695.0500000000 	loss_mse 0.0038160653 	loss 877694.7392857143 	inference time 0.0249051775 	time: 1.4362s 	
7 validate	 	loss_kl -0.2902683616 	acc 0.4973004426 	auroc 0.4942747772 	loss_nll 1312302.7343750000 	loss_mse 0.0057056635 	loss 1312302.4739583333 	inference time 0.0334939162 	time: 3.0439s 	
8 train	 	loss_kl -0.3023403960 	acc 0.4979804422 	auroc 0.4969881596 	loss_nll 811665.5678571429 	loss_mse 0.0035289806 	loss 811665.2553571429 	inference time 0.0253324304 	time: 1.4691s 	
8 validate	 	loss_kl -0.3138875663 	acc 0.4973004426 	auroc 0.4947678281 	loss_nll 1102833.6875000000 	loss_mse 0.0047949288 	loss 1102833.3385416667 	inference time 0.0473733743 	time: 3.0967s 	
9 train	 	loss_kl -0.3143212685 	acc 0.4988095238 	auroc 0.4974211744 	loss_nll 738247.2910714286 	loss_mse 0.0032097706 	loss 738246.9785714286 	inference time 0.0249045713 	time: 1.4312s 	
