Namespace(seed=969491451, GPU_to_use=None, epochs=100, batch_size=32, lr=0.0005, lr_decay=200, gamma=0.5, training_samples=624, test_samples=208, shuffle_traindata=True, prediction_steps=10, encoder_hidden=256, decoder_hidden=256, encoder='mlp', decoder='mlp', prior=1, edge_types=2, dont_use_encoder=True, lr_z=0.1, global_temp=False, load_temperatures=False, alpha=2, num_cats=3, unobserved=0, model_unobserved=0, dont_shuffle_unobserved=False, teacher_forcing=0, suffix='_energy_long_7d', timesteps=168, num_atoms=7, dims=11, datadir='./data', save_folder='logs', expername='', sym_save_folder='../logs', load_folder='', test_time_adapt=False, lr_logits=0.01, num_tta_steps=100, dont_skip_first=False, temp=0.5, hard=False, no_validate=False, no_cuda=False, var=5e-07, encoder_dropout=0.0, decoder_dropout=0.0, no_factor=False, f='C:\\Users\\GwenH\\AppData\\Roaming\\jupyter\\runtime\\kernel-204e35d8-5abf-4cde-8c16-c5199476a4e0.json', test=True, device=device(type='cuda', index=0), cuda=True, factor=True, validate=True, shuffle_unobserved=True, skip_first=True, use_encoder=False, time='20221109-212831', num_GPU=1, batch_size_multiGPU=32, log_path='logs\\20221109-212831')
None
DataParallel(
  (module): MLPDecoder(
    (msg_fc1): ModuleList(
      (0): Linear(in_features=22, out_features=256, bias=True)
      (1): Linear(in_features=22, out_features=256, bias=True)
    )
    (msg_fc2): ModuleList(
      (0): Linear(in_features=256, out_features=256, bias=True)
      (1): Linear(in_features=256, out_features=256, bias=True)
    )
    (out_fc1): Linear(in_features=267, out_features=256, bias=True)
    (out_fc2): Linear(in_features=256, out_features=256, bias=True)
    (out_fc3): Linear(in_features=256, out_features=11, bias=True)
  )
)
0 train	 	loss_kl -3.2058792591 	acc 0.5022693452 	auroc 0.5023243985 	loss_nll 194548219.8000000119 	loss_mse 0.1059053980 	loss 194548219.5999999940 	inference time 0.0904579282 	time: 2.4534s 	
0 validate	 	loss_kl -2.9388880730 	acc 0.4993622449 	auroc 0.5022539805 	loss_nll 80618668.5714285672 	loss_mse 0.0438860485 	loss 80618668.5714285672 	inference time 0.0997332505 	time: 2.8045s 	
1 train	 	loss_kl -2.4506367564 	acc 0.5020461310 	auroc 0.5005953816 	loss_nll 47514811.3999999985 	loss_mse 0.0258654398 	loss 47514807.3999999985 	inference time 0.0701615930 	time: 2.0266s 	
1 validate	 	loss_kl -1.9764807224 	acc 0.5029761905 	auroc 0.5036221830 	loss_nll 41021002.2857142836 	loss_mse 0.0223304307 	loss 41021002.2857142836 	inference time 0.1031528882 	time: 2.8913s 	
2 train	 	loss_kl -1.6887013972 	acc 0.5033482143 	auroc 0.5004757850 	loss_nll 26371397.5000000000 	loss_mse 0.0143556875 	loss 26371395.5000000000 	inference time 0.0674197078 	time: 1.9717s 	
2 validate	 	loss_kl -1.4218227863 	acc 0.5025510204 	auroc 0.5033393175 	loss_nll 28317648.0000000000 	loss_mse 0.0154151588 	loss 28317646.2857142873 	inference time 0.0829226630 	time: 2.9561s 	
3 train	 	loss_kl -1.2489368796 	acc 0.5031250000 	auroc 0.5022490044 	loss_nll 20097918.6000000015 	loss_mse 0.0109406198 	loss 20097916.6000000015 	inference time 0.0680178523 	time: 1.9857s 	
3 validate	 	loss_kl -1.0890830755 	acc 0.5025510204 	auroc 0.5027817928 	loss_nll 22618173.1428571418 	loss_mse 0.0123125602 	loss 22618171.1428571418 	inference time 0.0839183671 	time: 2.9730s 	
4 train	 	loss_kl -0.9932448119 	acc 0.5024925595 	auroc 0.5016264242 	loss_nll 17112407.2500000000 	loss_mse 0.0093154095 	loss 17112406.1000000015 	inference time 0.0707103372 	time: 2.0525s 	
4 validate	 	loss_kl -0.9055138230 	acc 0.5025510204 	auroc 0.5024981045 	loss_nll 20031001.4285714291 	loss_mse 0.0109041924 	loss 20031001.0000000000 	inference time 0.0916165965 	time: 3.1775s 	
5 train	 	loss_kl -0.8463137954 	acc 0.5039434524 	auroc 0.5024072162 	loss_nll 15434447.7500000000 	loss_mse 0.0084019858 	loss 15434446.8499999996 	inference time 0.0728054881 	time: 2.0934s 	
