Namespace(seed=969491451, GPU_to_use=None, epochs=100, batch_size=16, lr=0.0005, lr_decay=200, gamma=0.5, training_samples=156, test_samples=52, shuffle_traindata=True, prediction_steps=10, encoder_hidden=256, decoder_hidden=256, encoder='mlp', decoder='mlp', prior=1, edge_types=2, dont_use_encoder=True, lr_z=0.1, global_temp=False, load_temperatures=False, alpha=2, num_cats=3, unobserved=0, model_unobserved=0, dont_shuffle_unobserved=False, teacher_forcing=0, suffix='_energy_all_7d', timesteps=168, num_atoms=28, dims=10, datadir='./data', save_folder='logs', expername='', sym_save_folder='../logs', load_folder='', test_time_adapt=False, lr_logits=0.01, num_tta_steps=100, dont_skip_first=False, temp=0.5, hard=False, no_validate=False, no_cuda=False, var=5e-07, encoder_dropout=0.0, decoder_dropout=0.0, no_factor=False, f='C:\\Users\\GwenH\\AppData\\Roaming\\jupyter\\runtime\\kernel-204e35d8-5abf-4cde-8c16-c5199476a4e0.json', test=True, device=device(type='cuda', index=0), cuda=True, factor=True, validate=True, shuffle_unobserved=True, skip_first=True, use_encoder=False, time='20221109-223004', num_GPU=1, batch_size_multiGPU=16, log_path='logs\\20221109-223004')
None
DataParallel(
  (module): MLPDecoder(
    (msg_fc1): ModuleList(
      (0): Linear(in_features=20, out_features=256, bias=True)
      (1): Linear(in_features=20, out_features=256, bias=True)
    )
    (msg_fc2): ModuleList(
      (0): Linear(in_features=256, out_features=256, bias=True)
      (1): Linear(in_features=256, out_features=256, bias=True)
    )
    (out_fc1): Linear(in_features=266, out_features=256, bias=True)
    (out_fc2): Linear(in_features=256, out_features=256, bias=True)
    (out_fc3): Linear(in_features=256, out_features=10, bias=True)
  )
)
0 train	 	loss_kl -14.0293125153 	acc 0.5016506834 	auroc 0.5029580094 	loss_nll 1367245913.5999999046 	loss_mse 0.8187101424 	loss 1367245913.5999999046 	inference time 0.5939139605 	time: 8.0235s 	
0 validate	 	loss_kl -13.2664098740 	acc 0.5050223214 	auroc 0.5054216598 	loss_nll 368887960.0000000000 	loss_mse 0.2208909988 	loss 368887960.0000000000 	inference time 0.4777218699 	time: 3.9724s 	
1 train	 	loss_kl -12.8178058624 	acc 0.5009231702 	auroc 0.5033238129 	loss_nll 268702531.1999999881 	loss_mse 0.1608997151 	loss 268702523.1999999881 	inference time 0.5465758085 	time: 7.5721s 	
1 validate	 	loss_kl -12.3886594772 	acc 0.5048156415 	auroc 0.5055723579 	loss_nll 301702640.0000000000 	loss_mse 0.1806602590 	loss 301702636.0000000000 	inference time 0.4699932933 	time: 4.1848s 	
2 train	 	loss_kl -12.1843071938 	acc 0.5012869268 	auroc 0.5035068209 	loss_nll 187131083.1999999881 	loss_mse 0.1120545402 	loss 187131067.1999999881 	inference time 0.5516236544 	time: 7.6166s 	
2 validate	 	loss_kl -11.9957952499 	acc 0.5024594907 	auroc 0.5056027578 	loss_nll 191696940.0000000000 	loss_mse 0.1147885825 	loss 191696924.0000000000 	inference time 0.4859500527 	time: 4.2985s 	
3 train	 	loss_kl -11.9104083061 	acc 0.5008129409 	auroc 0.5032336592 	loss_nll 123368808.7999999970 	loss_mse 0.0738735378 	loss 123368798.4000000060 	inference time 0.5511716127 	time: 7.6429s 	
3 validate	 	loss_kl -11.8277390003 	acc 0.5019634590 	auroc 0.5056902432 	loss_nll 131662690.0000000000 	loss_mse 0.0788399316 	loss 131662682.0000000000 	inference time 0.5033943653 	time: 4.2835s 	
4 train	 	loss_kl -11.7730852127 	acc 0.5011078042 	auroc 0.5029984544 	loss_nll 83584642.4000000060 	loss_mse 0.0500506826 	loss 83584634.4000000060 	inference time 0.5508259773 	time: 7.6485s 	
4 validate	 	loss_kl -11.7081203461 	acc 0.5025421627 	auroc 0.5059678953 	loss_nll 101936680.0000000000 	loss_mse 0.0610399256 	loss 101936672.0000000000 	inference time 0.5136259198 	time: 4.4601s 	
5 train	 	loss_kl -11.6594477654 	acc 0.5007523148 	auroc 0.5031471996 	loss_nll 63278310.3999999985 	loss_mse 0.0378912035 	loss 63278299.6000000015 	inference time 0.5713558674 	time: 7.8628s 	
5 validate	 	loss_kl -11.6102740765 	acc 0.5018807870 	auroc 0.5060147899 	loss_nll 84114990.0000000000 	loss_mse 0.0503682541 	loss 84114982.0000000000 	inference time 0.5054053068 	time: 4.5947s 	
6 train	 	loss_kl -11.5830032349 	acc 0.5006283069 	auroc 0.5033261085 	loss_nll 54785942.7999999970 	loss_mse 0.0328059532 	loss 54785930.7999999970 	inference time 0.5654871941 	time: 7.8235s 	
6 validate	 	loss_kl -11.5560960770 	acc 0.5021288029 	auroc 0.5060191493 	loss_nll 79723802.0000000000 	loss_mse 0.0477388008 	loss 79723794.0000000000 	inference time 0.5004116893 	time: 4.6565s 	
7 train	 	loss_kl -11.5402136803 	acc 0.5008956129 	auroc 0.5031659206 	loss_nll 49091308.3999999985 	loss_mse 0.0293959929 	loss 49091296.3999999985 	inference time 0.5721686602 	time: 7.8800s 	
